(test_roc_auc , test_accuracy , val_accuracy , val_loss , dir_name)
 (0.86823215, 0.78919, 0.79179687,  0.432977  , 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.8_batch_1024_epochs_35_hidden_40_Njets_40000_features_7')
 (0.86421963, 0.78604, 0.78666835,  0.44062628, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.0005_decay_0.7_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86418158, 0.78561, 0.78580729,  0.44567961, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.8_batch_1024_epochs_35_hidden_40_Njets_40000_features_7')
 (0.86362306, 0.78572, 0.78918851,  0.44025318, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.7_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86191923, 0.78157, 0.78616431,  0.43882611, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.7_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.86169435, 0.77858, 0.7811849 ,  0.446339  , 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.7_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.8616431 , 0.78281, 0.7813151 ,  0.44725417, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.8_batch_1024_epochs_35_hidden_40_Njets_40000_features_7')
 (0.86147012, 0.78197, 0.78496094,  0.44313077, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.7_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.85912778, 0.77835, 0.77998992,  0.44924198, 'simple_rnn_kt_top_qcd/h_dim__lr_0.002_decay_0.7_batch_512_epochs_30_hidden_20_Njets_40000_features_7')
 (0.84850245, 0.77029, 0.77230343,  0.46494113, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.0005_decay_0.7_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.84020724, 0.76406, 0.76595052,  0.47528813, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.7_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.81732611, 0.75078, 0.75345052,  0.5007327 , 'simple_rnn_kt_top_qcd/lr_batch__lr_0.0005_decay_0.7_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.5       , 0.50007, 0.49882813, 13.84789079, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_640_Njets_40000_features_7')
 (0.5       , 0.50007, 0.49882813, 13.84789079, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_160_Njets_40000_features_7')
 (0.5       , 0.50006, 0.5       , 13.81551051, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_128_epochs_30_hidden_320_Njets_40000_features_7')
 (0.5       , 0.50003, 0.5       , 13.81551044, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_40_hidden_250_Njets_80000_features_7')
 (0.5       , 0.5    , 0.5       , 13.81551075, 'simple_rnn_kt_top_qcd/test_arch_lr_0.005_decay_0.9_batch_1_epochs_1_hidden_50_Njets_10_features_7')
 (0.5       , 0.49997, 0.5       , 13.81551052, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_128_epochs_40_hidden_100_Njets_80000_features_7')
 (0.5       , 0.49994, 0.5       , 13.81551048, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_128_epochs_30_hidden_640_Njets_40000_features_7')
 (0.5       , 0.49994, 0.5       , 13.81551048, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_128_epochs_30_hidden_160_Njets_40000_features_7')
 (0.5       , 0.49993, 0.50117188, 13.78313046, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_320_Njets_40000_features_7')]
